Date,Time,Open,High,Low,Close,Volume,Count,WAP,HasGaps
8/18/2017,15:55:00,2426.75,2427,2423.75,2424.5,135626,5803,2424.775,0
8/18/2017,16:00:00,2424.5,2426.5,2424.25,2426.25,62244,3119,2425.575,0
8/18/2017,16:05:00,2426.5,2427.25,2425.5,2425.75,21960,1101,2426.375,0
8/18/2017,16:10:00,2425.75,2427.5,2425.5,2427,35925,1865,2426.25,0
8/18/2017,16:30:00,2427.25,2427.5,2426.5,2427.25,3133,351,2427.075,0
8/18/2017,16:35:00,2427.25,2428,2426,2426.25,3607,183,2427.1,0
8/18/2017,16:40:00,2426,2426.5,2425.5,2425.75,2906,125,2425.875,0
8/18/2017,16:45:00,2425.75,2425.75,2425,2425.25,3774,181,2425.425,0
8/18/2017,16:50:00,2425.25,2425.75,2424.75,2425.5,1387,119,2425.1,0
8/18/2017,16:55:00,2425.5,2425.5,2425,2425,1393,219,2425.15,0
8/21/2017,9:30:00,2424.25,2425,2421.5,2423,35541,3185,2423.175,0
8/21/2017,9:35:00,2423,2426,2422.25,2424.75,25680,2677,2424.275,0
8/21/2017,9:40:00,2424.75,2426.25,2424.5,2425.25,19053,2097,2425.325,0
8/21/2017,9:45:00,2425.25,2426,2423.25,2425.25,17797,2124,2424.375,0
8/21/2017,9:50:00,2425.25,2425.25,2422.5,2423.25,19834,1888,2423.725,0
8/21/2017,9:55:00,2423,2423.25,2420,2420.75,28049,2691,2421.275,0
8/21/2017,10:00:00,2420.75,2421.25,2417.75,2419,44358,4114,2419.325,0
8/21/2017,10:05:00,2419,2421.25,2418,2421,24070,2418,2419.7,0
8/21/2017,10:10:00,2421,2421,2418,2419.25,24405,2442,2419.525,0
8/21/2017,10:15:00,2419.25,2420.25,2418,2419.25,20687,1749,2419.15,0
8/21/2017,10:20:00,2419.25,2419.25,2415.75,2417,35983,3784,2417.05,0
8/21/2017,10:25:00,2417,2419.25,2416.75,2418.75,18201,1860,2418.35,0
8/21/2017,10:30:00,2418.75,2420.5,2418.25,2419.75,17402,1688,2419.525,0
8/21/2017,10:35:00,2419.5,2420.25,2418.5,2419,12820,1207,2419.4,0
8/21/2017,10:40:00,2419,2422.5,2418.75,2421.5,22979,2522,2421.4,0
8/21/2017,10:45:00,2421.5,2422.5,2420.75,2421,10431,1158,2421.65,0
8/21/2017,10:50:00,2421.25,2423.5,2421,2422.5,14661,1455,2422.575,0
8/21/2017,10:55:00,2422.5,2423,2421.5,2422.75,14337,1196,2422.35,0
8/21/2017,11:00:00,2422.75,2423,2420.75,2421.5,11304,1207,2421.75,0
8/21/2017,11:05:00,2421.25,2422,2420.5,2421.75,8832,979,2421.425,0
8/21/2017,11:10:00,2421.75,2425.25,2421.75,2425,17939,1688,2424.025,0
8/21/2017,11:15:00,2425,2425.75,2424,2424.75,14557,1135,2424.8,0
8/21/2017,11:20:00,2424.75,2426,2424.75,2424.75,8091,809,2425.4,0
8/21/2017,11:25:00,2424.75,2425.5,2423.75,2424,10651,1094,2424.675,0
8/21/2017,11:30:00,2424.25,2426,2423.75,2425,15352,1442,2425.125,0
8/21/2017,11:35:00,2425.25,2425.75,2424,2425.75,12679,1050,2424.775,0
8/21/2017,11:40:00,2425.75,2426.75,2425.5,2426.25,13076,1332,2426.225,0
8/21/2017,11:45:00,2426.5,2428,2426.25,2426.75,16024,1236,2427.1,0
8/21/2017,11:50:00,2427,2427,2425.75,2426.5,7335,684,2426.275,0
8/21/2017,11:55:00,2426.75,2427,2425.5,2425.75,9425,824,2426.025,0
8/21/2017,12:00:00,2425.75,2426.75,2425.5,2426.5,8503,719,2426.225,0
8/21/2017,12:05:00,2426.25,2426.75,2425.75,2426.75,6276,547,2426.325,0
8/21/2017,12:10:00,2426.5,2427,2426,2426.25,4448,522,2426.675,0
8/21/2017,12:15:00,2426.25,2426.75,2425.75,2425.75,3965,470,2426.25,0
8/21/2017,12:20:00,2425.75,2428,2425.5,2427.75,13860,1008,2427.025,0
8/21/2017,12:25:00,2427.75,2429.25,2427.5,2429.25,23486,1727,2428.65,0
8/21/2017,12:30:00,2429,2429.5,2428.25,2429,14596,1229,2429,0
8/21/2017,12:35:00,2429,2429,2428.25,2428.5,6284,522,2428.725,0
8/21/2017,12:40:00,2428.25,2428.5,2427,2427.5,8744,765,2427.7,0
8/21/2017,12:45:00,2427.5,2427.75,2426.75,2427,3636,363,2427.275,0
8/21/2017,12:50:00,2427,2427.75,2427,2427.25,3539,343,2427.275,0
8/21/2017,12:55:00,2427,2427.75,2427,2427.5,3709,470,2427.45,0
8/21/2017,13:00:00,2427.25,2427.75,2426.5,2427,7530,627,2427.175,0
8/21/2017,13:05:00,2427,2427.5,2426.75,2427,3947,355,2427.225,0
8/21/2017,13:10:00,2426.75,2427,2426,2426.25,4507,454,2426.5,0
8/21/2017,13:15:00,2426.25,2426.5,2425.5,2425.75,5341,577,2425.8,0
8/21/2017,13:20:00,2426,2427,2425.75,2426.75,4863,541,2426.525,0
8/21/2017,13:25:00,2426.75,2426.75,2425.5,2425.75,4651,369,2426,0
8/21/2017,13:30:00,2425.75,2426.75,2425.5,2426,5215,486,2426.15,0
8/21/2017,13:35:00,2425.75,2426,2424.75,2425.25,6025,771,2425.225,0
8/21/2017,13:40:00,2425.25,2426,2425.25,2425.75,4593,426,2425.65,0
8/21/2017,13:45:00,2425.75,2426.25,2425.25,2425.75,4830,520,2425.7,0
8/21/2017,13:50:00,2425.75,2426,2424.25,2424.5,9280,1018,2425.025,0
8/21/2017,13:55:00,2424.5,2424.5,2423.25,2423.75,8391,974,2423.875,0
8/21/2017,14:00:00,2423.75,2425,2423.75,2424,11035,820,2424.2,0
8/21/2017,14:05:00,2424,2424.5,2423.75,2424,5503,450,2424.125,0
8/21/2017,14:10:00,2424,2424.5,2423.5,2424.25,4980,449,2424.05,0
8/21/2017,14:15:00,2424.25,2424.25,2423,2423.25,6148,517,2423.575,0
8/21/2017,14:20:00,2423.25,2424.25,2423,2424.25,5641,477,2423.65,0
8/21/2017,14:25:00,2424.25,2425,2424,2424.25,8496,733,2424.575,0
8/21/2017,14:30:00,2424.25,2425,2423.75,2423.75,8581,631,2424.6,0
8/21/2017,14:35:00,2423.5,2424.25,2423,2423.25,5745,449,2423.775,0
8/21/2017,14:40:00,2423.25,2424.25,2422.25,2424,9964,939,2423.075,0
8/21/2017,14:45:00,2424.25,2425,2424,2424.5,7085,601,2424.525,0
8/21/2017,14:50:00,2424.25,2425.5,2424.25,2424.5,6441,614,2424.85,0
8/21/2017,14:55:00,2424.75,2425.25,2424,2424.25,5856,490,2424.575,0
8/21/2017,15:00:00,2424.5,2424.5,2422.75,2423.75,9974,845,2423.725,0
8/21/2017,15:05:00,2424,2424.25,2423.75,2424,4741,385,2423.9,0
8/21/2017,15:10:00,2424.25,2424.25,2421.75,2422.5,10412,1059,2422.65,0
8/21/2017,15:15:00,2422.25,2423.25,2422.25,2423.25,6058,519,2422.8,0
8/21/2017,15:20:00,2423,2425.75,2423,2425.5,16296,1289,2424.875,0
8/21/2017,15:25:00,2425.75,2427.25,2425.25,2427.25,13874,1033,2426.25,0
8/21/2017,15:30:00,2427,2427.75,2426.5,2427,10894,967,2427.1,0
8/21/2017,15:35:00,2426.75,2427.75,2426.5,2427.5,13273,947,2427,0
8/21/2017,15:40:00,2427.5,2428,2426.5,2427.5,19618,1207,2427.35,0
8/21/2017,15:45:00,2427.5,2428.5,2427.25,2427.5,14848,1031,2427.8,0
8/21/2017,15:50:00,2427.75,2429,2427.5,2428.75,14294,1272,2428.55,0
8/21/2017,15:55:00,2428.75,2429,2426.5,2426.75,74375,3249,2427.45,0
8/21/2017,16:00:00,2426.75,2428,2426.5,2427.75,32018,1682,2427.3,0
8/21/2017,16:05:00,2428,2428.25,2426.75,2426.75,10371,608,2427.55,0
8/21/2017,16:10:00,2426.75,2428.5,2426.5,2428.5,20527,1387,2427.5,0
8/21/2017,16:30:00,2428.25,2428.25,2427.75,2428.25,2085,136,2428.125,0
8/21/2017,16:35:00,2428,2428.25,2427.75,2427.75,319,45,2427.95,0
8/21/2017,16:40:00,2428,2428.25,2427.75,2428.25,242,34,2428.075,0
8/21/2017,16:45:00,2428,2428.25,2428,2428,515,65,2428.175,0
8/21/2017,16:50:00,2428.25,2428.75,2428,2428.75,795,90,2428.475,0
8/21/2017,16:55:00,2428.75,2428.75,2428.5,2428.75,1312,178,2428.65,0
8/22/2017,9:30:00,2433.25,2437,2432.75,2436.75,45637,3775,2434.775,0
8/22/2017,9:35:00,2436.5,2441,2436.5,2440.75,39048,3865,2439.05,0
8/22/2017,9:40:00,2440.75,2441,2439.75,2440,17745,2041,2440.45,0
8/22/2017,9:45:00,2440.25,2441,2439.5,2440.75,18279,1554,2440.375,0
8/22/2017,9:50:00,2440.75,2442.25,2440.5,2441.5,22444,1848,2441.525,0
8/22/2017,9:55:00,2441.5,2442,2439.75,2440.25,19525,1840,2440.775,0
8/22/2017,10:00:00,2440,2441.75,2440,2440.5,17681,1607,2440.925,0
8/22/2017,10:05:00,2440.5,2441.5,2440.25,2440.75,11618,855,2440.825,0
8/22/2017,10:10:00,2440.75,2442,2440.75,2442,12499,959,2441.325,0
8/22/2017,10:15:00,2442,2442.5,2441,2442,19259,1530,2441.8,0
8/22/2017,10:20:00,2441.75,2443.25,2441.75,2442.5,21553,1842,2442.775,0
8/22/2017,10:25:00,2442.5,2443,2442,2442,11281,1030,2442.35,0
8/22/2017,10:30:00,2442,2442.75,2441.5,2441.5,8266,871,2442.1,0
8/22/2017,10:35:00,2441.5,2442.5,2441.25,2442.5,12275,1027,2441.9,0
8/22/2017,10:40:00,2442.75,2442.75,2441.25,2441.75,8392,784,2441.75,0
8/22/2017,10:45:00,2441.75,2442.75,2441.5,2442.25,10660,848,2442.35,0
8/22/2017,10:50:00,2442.25,2444,2442.25,2444,10425,1077,2443.375,0
8/22/2017,10:55:00,2444,2444,2443.25,2443.75,10471,919,2443.675,0
8/22/2017,11:00:00,2443.75,2444.5,2442.5,2442.5,16898,1399,2443.375,0
8/22/2017,11:05:00,2442.5,2443,2442.25,2442.25,9416,833,2442.575,0
8/22/2017,11:10:00,2442.5,2443,2441.75,2443,10885,1070,2442.475,0
