"Date","Open","High","Low","Close","Volume","Adj Close"
"12/12/2012","144.00","144.55","143.31","143.51","145880100","138.40"
"12/13/2012","143.42","143.83","142.27","142.63","135715000","137.55"
"12/14/2012","142.32","142.58","141.88","142.10","137701700","137.04"
"12/17/2012","142.47","143.85","142.43","143.77","143238200","138.65"
"12/18/2012","144.00","145.50","143.79","145.37","177762800","140.20"
"12/19/2012","145.53","145.58","144.24","144.29","150895400","139.15"
"12/20/2012","144.38","145.14","143.98","145.12","168487000","139.95"
"12/21/2012","142.17","144.09","141.94","142.79","245883800","138.68"
"12/24/2012","142.48","142.56","142.19","142.35","53874600","138.26"
"12/26/2012","142.64","142.71","141.35","141.75","106947700","137.67"
"12/27/2012","141.79","142.08","139.92","141.56","167920600","137.49"
"12/28/2012","140.64","141.42","139.87","140.03","148806700","136.00"
"12/31/2012","139.66","142.56","139.54","142.41","243935200","138.32"
"01/02/2013","145.11","146.15","144.73","146.06","192059000","141.86"
"01/03/2013","145.99","146.37","145.34","145.73","144761800","141.54"
"01/04/2013","145.97","146.61","145.67","146.37","116817700","142.16"
"01/07/2013","145.85","146.11","145.43","145.97","110002500","141.77"
"01/08/2013","145.71","145.91","144.98","145.55","121265100","141.36"
"01/09/2013","145.87","146.32","145.64","145.92","90745600","141.72"
"01/10/2013","146.73","147.09","145.97","147.08","130735400","142.85"
"01/11/2013","147.04","147.15","146.61","147.07","113917300","142.84"
"01/14/2013","146.89","147.07","146.43","146.97","89567200","142.74"
"01/15/2013","146.29","147.21","146.20","147.07","93172600","142.84"
"01/16/2013","146.77","147.28","146.61","147.05","104849500","142.82"
"01/17/2013","147.70","148.42","147.15","148.00","133833500","143.74"
"01/18/2013","147.97","148.49","147.43","148.33","169906000","144.06"
"01/22/2013","148.33","149.13","147.98","149.13","111797300","144.84"
"01/23/2013","149.13","149.50","148.86","149.37","104596100","145.07"
"01/24/2013","149.15","150.14","149.01","149.41","146426400","145.11"
"01/25/2013","149.88","150.25","149.37","150.25","147211600","145.93"
"01/28/2013","150.29","150.33","149.51","150.07","113357700","145.75"
"01/29/2013","149.77","150.85","149.67","150.66","105694400","146.33"
"01/30/2013","150.64","150.94","149.93","150.07","137447700","145.75"
"01/31/2013","149.89","150.38","149.60","149.70","108975800","145.40"
"02/01/2013","150.65","151.42","150.39","151.24","131173000","146.89"
"02/04/2013","150.32","151.27","149.43","149.54","159073600","145.24"
"02/05/2013","150.35","151.48","150.29","151.05","113912400","146.71"
