"Date","Outlook"
"2013/04/16","279"
"2013/04/17","279"
"2013/04/18","278"
"2013/04/19","277"
"2013/04/22","276"
"2013/04/23","275"
"2013/04/24","274"
"2013/04/25","273"
"2013/04/26","272"
"2013/04/29","271"
"2013/04/30","272"
"2013/05/01","273"
"2013/05/02","274"
"2013/05/03","275"
"2013/05/06","276"
"2013/05/07","277"
"2013/05/08","278"
"2013/05/09","279"
"2013/05/10","280"
"2013/05/13","281"
"2013/05/14","282"
"2013/05/15","283"
"2013/05/16","284"
"2013/05/17","285"
"2013/05/20","286"
"2013/05/21","287"
"2013/05/22","288"
"2013/05/23","289"
"2013/05/24","290"
"2013/05/28","291"
"2013/05/29","292"
"2013/05/30","293"
"2013/05/31","294"
"2013/06/03","294"
"2013/06/04","294"
"2013/06/05","294"
"2013/06/06","294"
"2013/06/07","294"
"2013/06/10","294"
"2013/06/11","294"
"2013/06/12","293"
"2013/06/13","292"
"2013/06/14","293"
"2013/06/17","294"
"2013/06/18","295"
"2013/06/19","296"
"2013/06/20","297"
"2013/06/21","296"
"2013/06/24","295"
"2013/06/25","294"
"2013/06/26","293"
"2013/06/27","292"
"2013/06/28","291"
"2013/07/01","290"
"2013/07/02","289"
"2013/07/03","288"
"2013/07/05","287"
"2013/07/08","286"
"2013/07/09","285"
"2013/07/10","284"
"2013/07/11","283"
"2013/07/12","284"
"2013/07/15","285"
"2013/07/16","286"
"2013/07/17","287"
"2013/07/18","288"
"2013/07/19","289"
"2013/07/22","290"
"2013/07/23","291"
"2013/07/24","292"
"2013/07/25","293"
"2013/07/26","294"
"2013/07/29","295"
"2013/07/30","296"
"2013/07/31","297"
"2013/08/01","298"
"2013/08/02","299"
"2013/08/05","300"
"2013/08/06","301"
"2013/08/07","301"
"2013/08/08","301"
"2013/08/09","301"
"2013/08/12","301"
"2013/08/13","301"
"2013/08/14","301"
"2013/08/15","301"
"2013/08/16","300"
"2013/08/19","299"
"2013/08/20","298"
"2013/08/21","297"
"2013/08/22","296"
"2013/08/23","295"
"2013/08/26","294"
"2013/08/27","293"
"2013/08/28","292"
"2013/08/29","291"
"2013/08/30","290"
"2013/09/03","289"
"2013/09/04","288"
"2013/09/05","287"
"2013/09/06","286"
"2013/09/09","285"
"2013/09/10","286"
"2013/09/11","287"
"2013/09/12","288"
"2013/09/13","289"
"2013/09/16","288"
"2013/09/17","289"
"2013/09/18","290"
"2013/09/19","291"
